,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Current Price,Shares Outstanding,Status
308,N/A,N/A,nem,N/A,N/A,N/A,N/A,N/A,33.11,254.39999999999998,N/A,1.83,1.18,20.55,4.12,2940000000.0,13.53,20352254400.0,21480000000.0,27.45,3.65,2.98,7.83,6710000000.0,2940000000.0,2740000000.0,0.15,0.15,4.90,4.90,2790000000.0,5.71,4050000000.0,4.18,20.88,2210000000.0,0.71,0.30,85.68,0.30,0.08,0.00,0.30,38.16,533340000.00000006,N/A
309,N/A,N/A,nflx,N/A,N/A,N/A,N/A,N/A,181.45,224.83200000000002,N/A,34.00,4.78,7.17,3.22,17.85,27.07,121957308000.00002,124540000000.0,66.44,1.27,10.65,136.77,11690000000.0,4030000000.0000005,910590000.0,558930000.0,1.25,163.70,32.60,268040000.00000003,6.51,6500000000.0,1.40,8.27,163.70,1.57,1.81,83.34,27320000.0,3.75,7.46,1.81,281.04,433950000.0,N/A
310,N/A,N/A,nfx,N/A,N/A,N/A,N/A,N/A,172.87,10.892018779342724,N/A,3.30,24.17,26.49,6.31,36.40,8.88,4583392000.0,7250000000.0,7.61,0.32,4.11,7.76,1470000000.0,1300000000.0,2430000000.0,2.13,2.13,619.50,22.70,3620000000.0,1.63,2430000000.0,0.91,7.04,619.50,1.55,0.57,103.24,7880000.0,2.35,5.06,9020000.0,23.20,197560000.0,N/A
311,N/A,N/A,ni,N/A,N/A,N/A,N/A,N/A,199.14,27.80487804878049,N/A,1.76,5.61,18.00,2.90,6.60,14.75,7678812000.0,16420000000.000002,16.64,2.41,3.42,11.79,4490000000.0,3100000000.0,1390000000.0,269800000.0,0.82,6.50,6.50,803300000.0,0.06,8690000000.0,0.52,12.96,800900000.0,0.09,0.32,88.73,0.32,0.00,0.00,0.32,22.80,336790000.0,N/A
312,N/A,N/A,nke,N/A,N/A,N/A,N/A,N/A,40.07,29.025974025974023,N/A,9.26,11.13,12.75,11.85,32.11,21.16,87165000000.0,108120000000.0,25.11,3.92,3.11,20.95,34350000000.0,15310000000.0,5160000000.0,3870000000.0,2.31,4.60,4.60,3640000000.0,3.93,4710000000.0,2.46,7.24,3770000000.0,0.57,1.67,84.23,1.67,0.00,0.00,1.67,67.05,1300000000.0,N/A
313,N/A,N/A,nly,N/A,N/A,N/A,N/A,N/A,574.41,7.416058394160584,N/A,0.90,79.43,87.86,1.65,11.43,1.85,11785600000.0,97180000000.0,8.83,49.18,49.18,14.96,2340000000.0,250360000.0,85420000000.0,1460000000.0,1.37,100.00,100.00,6860000000.0,0.38,85420000000.0,0.02,11.34,6930000000.0,11.34,0.32,61.91,22590000.0,2.16,2.22,20450000.0,10.16,1160000000.0,N/A
314,N/A,N/A,noc,N/A,N/A,N/A,N/A,N/A,216.60,30.585876198779424,N/A,8.67,7.81,12.78,6.81,32.74,147.95,61074253800.0,65030000000.0,20.19,1.81,2.52,17.23,25800000000.0,5950000000.0,3770000000.0,2020000000.0,11.47,3.70,3.70,2610000000.0,64.48,15270000000.0,2.35,40.49,2610000000.0,0.88,0.53,82.72,1760000.0,2.65,1.14,1570000.0,350.82,174090000.0,N/A
315,N/A,N/A,nok,N/A,N/A,N/A,N/A,N/A,23.22,14.58974358974359,N/A,1.58,5570000000.0,6.39,2.15,8920000000.0,5.08,31920900000.000004,25990000000.0,14.59,1.10,0.90,6.82,24910000000.0,8920000000.0,3810000000.0,0.39,0.39,0.10,0.10,1540000000.0,1.91,4670000000.0,1.55,3.59,2250000000.0,0.95,0.00,6.89,33460000.0,1.91,0.00,30950000.0,5.69,5610000000.0,N/A
316,N/A,N/A,nov,N/A,N/A,N/A,N/A,N/A,19.15,32.37037037037037,N/A,0.94,379270000.0,N/A,888120000.0,888120000.0,19.37,13289694400.0,14720000000.0,32.37,2.91,2.02,34.97,7250000000.0,1340000000.0,2710000000.0,1.08,1.08,16.40,16.40,1820000000.0,3.78,2710000000.0,3.07,37.08,16.40,0.72,0.31,96.20,33130000.000000004,9.67,9.71,30740000.0,34.96,380140000.0,N/A
317,N/A,N/A,nrg,N/A,N/A,N/A,N/A,N/A,449.88,10.91703056768559,N/A,6.69,315630000.0,8.38,2.23,3800000000.0,38.28,7916000000.0,24780000000.0,10.92,0.52,2.04,10.18,12350000000.0,3800000000.0,2430000000.0,2.29,2.29,28.46,28.46,2069999999.9999998,3.88,16980000000.0,1.28,3.74,1140000000.0,1.12,0.83,110.64,50.5,0.00,0.00,50.5,25.00,316640000.0,N/A
318,N/A,N/A,nsc,N/A,N/A,N/A,N/A,N/A,61.84,7.4637291778613655,N/A,2.41,51.22,33.99,6.35,37.57,36.65,561156000.0,49940000000.0,14.71,1.08,4.73,10.75,10550000000.0,7560000000.0,4650000000.0,5400000000.0,18.61,873.20,7.20,3250000000.0,2.43,10120000000.0,0.84,57.57,3250000000.0,1.43,0.17,73.93,4040000.0,2.68,1.44,3620000.0,138.90,4040000.0,N/A
319,N/A,N/A,ntap,N/A,N/A,N/A,N/A,N/A,99.82,25.124463519313302,N/A,5.63,267640000.0,15.08,5.75,3390000000.0,21.38,15617886600.000002,11700000000.0,15.65,1.15,2.03,11.24,5520000000.0,3390000000.0,1040000000.0,2.33,2.33,8.50,8.50,1270000000.0,20.97,2170000000.0,1.91,10.40,1350000000.0,1.83,0.06,98.74,14120000.0,5.99,7.49,12900000.0,58.54,266790000.00000003,N/A
320,N/A,N/A,ntri,N/A,N/A,N/A,N/A,N/A,22.79,22.459016393442624,N/A,9.17,8.27,11.83,29.81,50.55,22.79,1224780000.0,1180000000.0,17.79,1.44,1.75,12.46,545450000.0,288460000.0,94690000.0,55330000.0,1.83,82.10,27.00,50600000.0,3.01,1.83,2.38,4.48,75630000.0,0.2,2.62,108.98,3870000.0,6.67,14.95,3990000.0,41.10,29800000.0,N/A
321,N/A,N/A,ntrs,N/A,N/A,N/A,N/A,N/A,23.67,21.41869918699187,N/A,2.55,22.19,30.24,0.91,12.00,23.67,23965519600.0,32450000000.000004,15.70,1.10,6.01,19.68,5140000000.0,3470000000.0,12400000000.0,1130000000.0,4.92,35.80,13.80,1510000000.0,16.02,12400000000.0,5400000000.0,41.28,35.80,1.09,0.43,80.56,1740000.0,1.33,0.83,1590000.0,105.38,227420000.0,N/A
322,N/A,N/A,nue,N/A,N/A,N/A,N/A,N/A,41.77,16.304878048780488,N/A,2.44,6.51,9.29,7.57,15.92,63.29,21252952000.0,24670000000.0,12.81,0.87,1.22,9.46,16210000000.0,2029999999.9999998,2610000000.0,1320000000.0,4.10,73.70,28.70,1740000000.0,3.13,3800000000.0,2.42,27.38,1050000000.0,1.62,0.41,83.26,4090000.0,1.75,1.28,4290000.0,66.85,317920000.0,N/A
323,N/A,N/A,nus,N/A,N/A,N/A,N/A,N/A,55.16,30.364406779661017,N/A,5.35,5.68,12.04,11.20,18.91,43.16,3780065000.0,3710000000.0,17.92,2.29,1.63,10.73,2210000000.0,1710000000.0,346050000.0,129440000.0,2.36,25.40,25.40,275260000.0,8.33,388630000.0,1.74,13.40,302560000.0,0.69,2.88,76.93,3530000.0,8.28,8.85,3550000.0,71.66,52750000.0,N/A
324,N/A,N/A,nvda,N/A,N/A,N/A,N/A,N/A,26.77,50.1058091286307,N/A,19.59,31.37,33.06,19.04,46.05,16.22,3323177600.0,145830000000.0,33.27,4.17,15.01,42.84,6910000000.0,4059999999.9999995,3400000000.0,3050000000.0,4.82,78.90,34.00,1670000000.0,11.73,7.26,8.03,12.33,78.90,1.51,4.45,68.89,13760000.0,1.01,2.82,12800000.0,241.51,13760000.0,N/A
325,N/A,N/A,nwl,N/A,N/A,N/A,N/A,N/A,74.41,4.765541740674955,N/A,0.93,18.65,12.02,3.31,21.50,30.29,13149383000.0,23440000000.0,9.19,2.61,1.59,9.73,13260000000.0,4400000000.0,2410000000.0,2750000000.0,5.63,898.50,34.85,1830000000.0,2410000000.0,10550000000.0,1.41,28.98,898.50,0.72,0.98,94.25,20420000.0,2.26,4.27,23520000.0,26.83,490100000.0,N/A
326,N/A,N/A,nwsa,N/A,N/A,N/A,N/A,N/A,2.51,26.683333333333337,N/A,0.86,501580000.0,6.98,2.51,8140000000.000001,14.25,6136633000.000001,7900000000.0,26.68,1.32,0.95,9.67,8140000000.000001,8140000000.000001,1.42,0.6,0.6,3.00,3.00,0.08,3.18,1.42,1.64,18.63,3.00,2.21,0.59,96.94,8620000.0,4.18,2.26,8520000.0,16.01,383300000.0,N/A
327,N/A,N/A,oi,N/A,N/A,N/A,N/A,N/A,571.30,19.80733944954128,N/A,4.36,2.62,7.91,3.59,31.78,42.21,3521544900.0,8289999999.999999,7.17,1.19,1.21,8.54,6870000000.0,1130000000.0,5300000000.0,1.09,1.09,4.30,4.30,2270000000.0,3.02,5300000000.0,1.06,4.95,4.30,1.18,0.75,100.04,5500000.0,3.92,3.40,4670000.0,21.59,163110000.0,N/A
328,N/A,N/A,oke,N/A,N/A,N/A,N/A,N/A,171.51,34.629629629629626,N/A,3.99,3.76,12.03,5.07,16.16,43.46,23027928000.0,31310000000.0,23.28,2.31,2.84,18.10,8920000000.0,2420000000.0,1730000000.0,415100000.0,1.62,23.30,23.30,1350000000.0,0.03,9460000000.0,0.55,14.06,1370000000.0,1.14,0.59,69.32,11350000.0,4.78,5.44,11050000.0,56.10,410480000.0,N/A
329,N/A,N/A,omc,N/A,N/A,N/A,N/A,N/A,148.87,15.314115308151093,N/A,7.04,7.13,13.48,5.35,38.48,65.75,17737698100.0,19210000000.0,12.77,1.87,1.26,8.20,15420000000.0,2750000000.0,2340000000.0,1090000000.0,5.03,18.28,18.28,1930000000.0,16.49,4960000000.0,0.93,10.94,2020000000.0,1.15,0.76,106.06,24120000.0,8.64,10.42,25460000.0,77.03,230270000.0,N/A
330,N/A,N/A,orcl,N/A,N/A,N/A,N/A,N/A,107.77,21.21459227467811,N/A,3.67,25.48,35.19,6.52,18.86,9.40,204640199999.99997,195620000000.0,15.54,1.90,5.03,12.92,37730000000.0,30260000000.0,15140000000.0,9910000000.0,2.33,8.30,6.50,14130000000.0,17.29,60680000000.0,5.07,13.48,14580000000.0,1.05,27.46,59.53,29960000.0,2.45,0.98,29360000.0,49.43,4139999999.9999995,N/A
331,N/A,N/A,orly,N/A,N/A,N/A,N/A,N/A,456.08,19.54932912391476,N/A,31.98,12.63,19.22,14.60,99.45,101.53,20880267000.0,24210000000.0,14.50,0.96,2.70,12.36,8590000000.0,4510000000.0,1960000000.0,1130000000.0,12.67,36.00,4.40,1450000000.0,0.55,2980000000.0,0.93,7.75,1400000000.0,0.86,2.18,89.88,4790000.0,4.23,6.07,5060000.0,247.69,84300000.0,N/A
332,N/A,N/A,oxy,N/A,N/A,N/A,N/A,N/A,47.77,39.535294117647055,N/A,2.50,10.48,5.55,1.02,6.23,16.35,51431780399.99999,60200000000.0,25.46,0.41,4.81,11.81,10090000000.0,4900000000.0,5100000000.0,1310000000.0,1.70,25.30,25.30,3380000000.0,2.18,9830000000.0,1.12,26.87,25.30,0.38,0.35,85.03,8970000.0,1.98,1.18,10050000.0,67.21,765240000.0,N/A
333,N/A,N/A,p,N/A,N/A,N/A,N/A,N/A,40.95,6.493333333333333,N/A,7.15,226730000.0,N/A,489900000.0,489900000.0,6.11,1211558600.0,1090000000.0,226730000.0,0.75,0.75,14.96,1380000000.0,489900000.0,267399999.99999997,0.75,0.75,7.60,7.60,38750000.0,2.01,267399999.99999997,4.18,0.68,7.60,0.68,1.32,15.28,75810000.0,5.49,31.54,71930000.0,4.87,248780000.0,N/A
334,N/A,N/A,payx,N/A,N/A,N/A,N/A,N/A,6.78,28.056034482758623,N/A,11.87,26.03,39.62,11.91,44.53,9.02,23379026200.0,23790000000.0,23.25,2.86,7.35,16.81,3150000000.0,3150000000.0,1420000000.0,842600000.0,2.32,7.10,7.10,960400000.0,0.94,133400000.0,1.09,5.48,1070000000.0000001,0.93,10.83,70.65,13510000.0,8.06,4.23,13530000.0,65.09,359180000.0,N/A
335,N/A,N/A,pbct,N/A,N/A,N/A,N/A,N/A,4.28,20.37113402061856,N/A,1.20,23.62,37.75,0.79,6.15,4.28,6718004800.000001,10860000000.0,14.32,7.75,7.61,1.92,1470000000.0,845200000.0,5010000000.0,323100000.0,0.97,25.50,15.60,335600000.0,2.62,5010000000.0,1430000000.0,16.40,25.50,0.93,0.64,78.86,23900000.0,9.14,8.99,24740000.0,19.76,339980000.0,N/A
336,N/A,N/A,pbi,N/A,N/A,N/A,N/A,N/A,19.02,8.83453237410072,N/A,11.85,7.36,12.95,4.59,575.16,19.02,2293044400.0,5090000000.0,7.63,2.13,1.43,8.01,3410000000.0,1890000000.0,635760000.0,261339999.99999997,1.39,18.30,18.30,490690000.0,5.65,3830000000.0,1.28,1.04,18.30,0.98,0.54,78.51,7920000.0,2.65,5.56,6060000.0,12.28,186730000.0,N/A
337,N/A,N/A,pcar,N/A,N/A,N/A,N/A,N/A,125.70,14.572631578947368,N/A,3.02,8.61,11.02,6.08,22.59,55.29,24351596000.0,54890000000.0,12.52,2.69,2.82,16.88,16610000000.0,3090000000.0,3250000000.0,1680000000.0,4.75,103.70,34.00,2300000000.0,5.15,10120000000.0,1.08,22.88,2720000000.0,0.96,2.12,65.06,2.12,0.00,0.00,2.12,69.22,351800000.0,N/A
338,N/A,N/A,pcg,N/A,N/A,N/A,N/A,N/A,98.33,12.39563862928349,N/A,1.07,9.61,17.60,2.76,8.74,33.47,20490656300.0,39500000000.0,10.00,2.57,2.31,6.73,17140000000.0,5810000000.0,5870000000.0,1650000000.0,3.21,34.26,34.26,5980000000.0,0.87,19150000000.0,0.88,37.34,5980000000.0,37.34,0.92,83.83,6720000.0,0.82,1.32,6120000.0,39.79,514970000.0,N/A
339,N/A,N/A,pcln,N/A,N/A,N/A,N/A,N/A,74.84,0.02945301542776999,N/A,7.12,29.20,35.53,11.85,31.48,248.73,102417000.0,94310000000.0,22.56,1.61,7.71,20.11,10740000000.0,10310000000.0,4690000000.0,3570000000.0,71.30,239.90,20.10,3920000000.0,148.73,9640000000.0,2.52,264.13,4530000000.0,1.45,0.24,95.28,1630000.0,2.48,3.77,1670000.0,2.10,48770000.0,N/A
340,N/A,N/A,pdco,N/A,N/A,N/A,N/A,N/A,80.39,19.18562874251497,N/A,2.17,2.84,5.56,5.40,11.56,59.07,2967865200.0,3930000000.0,13.46,2.03,0.71,10.04,5590000000.0,1300000000.0,391260000.0,160220000.0,1.67,23.14,23.14,162720000.0,1.09,1100000000.0,1.94,14.74,295130000.0,0.95,12.90,98.08,13120000.0,7.73,15.96,13200000.0,32.04,92630000.0,N/A
341,N/A,N/A,peg,N/A,N/A,N/A,N/A,N/A,96.97,47.116504854368934,N/A,1.87,5.73,28.24,3.97,3.91,17.98,24558121200.0,37460000000.0,15.65,7.03,4.13,9.99,9060000000.0,3050000000.0,3750000000.0,1.03,1.03,21.90,39.07,3310000000.0,0.55,12730000000.0,0.80,25.99,3280000000.0,0.25,0.21,71.84,0.21,0.00,0.00,0.21,48.53,506040000.0,N/A
342,N/A,N/A,pep,N/A,N/A,N/A,N/A,N/A,357.72,31.952662721893493,N/A,13.89,7.65,16.65,8.63,44.26,44.58,153360000000.0,175220000000.0,17.56,2.58,2.76,13.77,63520000000.0,34740000000.0,12720000000.0,4850000000.0,3.38,0.10,0.10,9990000000.0,13.74,39280000000.0,1.51,7.78,9990000000.0,0.59,0.19,72.36,8170000.0,2.54,0.57,6630000.0,108.00,1420000000.0,N/A
343,N/A,N/A,pets,N/A,N/A,N/A,N/A,N/A,13.27,27.570588235294117,N/A,8.68,12.84,18.49,26.71,34.71,13.27,954741900.0,849630000.0,21.21,2.45,3.15,16.36,249180000.0,79310000.0,51930000.0,34600000.0,1.70,84.80,13.70,47200000.0,3.98,3.32,4.24,5.40,50710000.0,0.54,3.72,94.79,5690000.0,6.45,32.72,5480000.0,46.87,20370000.0,N/A
344,N/A,N/A,pfe,N/A,N/A,N/A,N/A,N/A,72.17,10.159090909090908,N/A,3.51,40.55,28.25,35.31,35.31,8.80,213129600000.0,241810000000.0,11.72,1.81,4.60,11.51,52820000000.0,40490000000.0,21010000000.0,21310000000.0,3.52,0.60,0.60,15900000000.0,2.86,44100000000.0,52550000000.0,10.19,0.60,1.06,0.06,72.93,54810000.0,3.49,0.92,51410000.0,35.76,5960000000.0,N/A
345,N/A,N/A,pfg,N/A,N/A,N/A,N/A,N/A,25.14,8.032994923857867,N/A,1.42,16.39,17.11,0.63,19.86,48.78,18335478000.0,16450000000.0,10.23,1.09,1.17,6.31,14090000000.0,6270000000.0,2610000000.0,2310000000.0,7.88,162.30,43.61,4190000000.0000005,17.2,3270000000.0,2.83,44.46,4190000000.0000005,1.27,0.68,75.01,3800000.0,3.12,1.49,3320000.0,63.30,289660000.0,N/A
346,N/A,N/A,pg,N/A,N/A,N/A,N/A,N/A,68.96,21.397333333333332,N/A,3.81,15.34,22.95,7.74,18.79,25.76,202204800000.0,225400000000.0,17.67,2.63,3.43,12.63,65060000000.0,32520000000.000004,17840000000.0,9840000000.0,3.75,3.20,3.20,12750000000.0,7.44,37730000000.0,0.94,21.07,14040000000.0,0.29,0.06,62.36,27300000.0,3.68,1.07,26890000.0,80.24,2520000000.0,N/A
347,N/A,N/A,pgr,N/A,N/A,N/A,N/A,N/A,33.78,21.018382352941174,N/A,3.58,5.94,8.55,3.97,17.53,46.17,33255789000.0,33799999999.999996,15.20,0.90,1.26,13.38,23440000000.0,1730000000.0,2530000000.0,1590000000.0,2.72,52.10,16.20,2700000000.0,4.93,3310000000.0,0.84,15.96,52.10,0.65,0.60,82.98,6730000.0,2.31,1.16,7190000.0,57.17,581700000.0,N/A
348,N/A,N/A,ph,N/A,N/A,N/A,N/A,N/A,109.56,28.19595645412131,N/A,4.38,6.54,12.57,7.57,17.39,100.23,24121965000.000004,29080000000.0,15.93,1.17,2.18,13.73,12030000000.0,2840000000.0,2120000000.0,873530000.0,6.43,26.20,26.20,1300000000.0,8.51,6050000000.0,1.49,41.44,1360000000.0,1.05,0.37,82.94,1690000.0,2.44,1.28,1270000.0,181.30,133050000.00000001,N/A
349,N/A,N/A,phm,N/A,N/A,N/A,N/A,N/A,84.71,20.375,N/A,2.03,5.22,13.12,7.08,10.15,28.10,8404736400.0,11760000000.0,8.36,0.37,1.37,10.00,8570000000.0,1860000000.0,1180000000.0,442650000.0,1.44,12.10,12.10,663080000.0,0.97,3520000000.0,4.52,14.49,663080000.0,0.73,9.48,89.94,15840000.0,3.07,5.43,14380000.0,29.34,286460000.0,N/A
350,N/A,N/A,pki,N/A,N/A,N/A,N/A,N/A,80.14,28.856060606060606,N/A,3.35,12.97,15.65,4.26,6.74,20.36,8396559600.000001,10210000000.0,19.24,1.56,4.53,22.29,2120000000.0,1010000000.0,458140000.0,156890000.0,2.64,40.70,40.70,350620000.0,1.84,2009999999.9999998,1.27,22.74,288450000.0,1.16,0.94,97.43,2300000.0,3.72,2.11,2460000.0,76.18,110220000.0,N/A
351,N/A,N/A,pld,N/A,N/A,N/A,N/A,N/A,50.32,19.57843137254902,N/A,2.04,57.64,35.57,2.13,9.48,5.41,31935025499.999996,41990000000.0,38.65,14.65,14.65,22.12,2530000000.0,1960000000.0,1900000000.0,1640000000.0,3.06,2.30,2.30,1420000000.0,0.86,9410000000.0,1.39,29.41,1690000000.0,0.94,0.85,97.50,6370000.0,3.1,1.42,6020000.0,59.91,533049999.99999994,N/A
352,N/A,N/A,pm,N/A,N/A,N/A,N/A,N/A,18.52,26.7319587628866,N/A,6020000000.0,20.99,40.01,18.01,18320000000.0,18.52,160766000000.0,185640000000.0,17.61,1.95,6.46,15.00,78100000000.0,18320000000.0,12380000000.0,6020000000.0,3.88,19.00,19.00,8910000000.0,5.44,34340000000.000004,1.35,6020000000.0,8910000000.0,0.73,0.18,73.95,7720000.0,1.72,0.50,8010000.0,103.72,1550000000.0,N/A
353,N/A,N/A,pnc,N/A,N/A,N/A,N/A,N/A,33.03,15.567567567567568,N/A,1.61,33.60,34.55,1.44,11.41,33.03,987033600.0,128810000000.0,13.92,1.22,8.11,24.55,16420000000.000002,9480000000.0,59090000000.0,5050000000.0,10.36,112.30,8.60,3630000000.0,11.72,59090000000.0,15890000000.0,100.45,112.30,100.45,0.23,83.19,6120000.0,3.74,1.26,5520000.0,161.28,6120000.0,N/A
354,N/A,N/A,pnr,N/A,N/A,N/A,N/A,N/A,28.60,19.513812154696133,N/A,2.54,13.50,13.79,4.22,10.33,27.17,12828224000.0,14130000000.0,16.43,1.98,2.86,16.36,4890000000.0,1790000000.0,863700000.0,3.62,3.62,44.20,6.10,861400000.0,0.62,1440000000.0,1.46,27.77,620200000.0,1.34,0.44,91.63,2280000.0,2.72,1.37,2460000.0,70.64,181600000.0,N/A
355,N/A,N/A,pnw,N/A,N/A,N/A,N/A,N/A,91.51,16.400862068965516,N/A,1.65,14.67,27.27,3.69,10.51,31.73,8502652999.999999,13440000000.0,17.26,3.56,3.79,8.65,3500000000.0,1510000000.0,1550000000.0,520070000.00000006,4.64,4.70,1.40,1020000000.0,0.1,4830000000.0,0.90,46.05,1030000000.0,46.05,0.41,84.50,2650000.0,3.78,2.39,2200000.0,76.10,111730000.0,N/A
356,N/A,N/A,ppg,N/A,N/A,N/A,N/A,N/A,73.08,18.73905996758509,N/A,5.23,10.79,13.99,7.98,26.30,57.60,28891125600.0,31490000000.0,15.71,1.73,2.13,12.48,14750000000.0,6690000000.0,2520000000.0,1370000000.0,6.17,7.80,7.80,1320000000.0,5.98,4150000000.0000005,1.66,22.13,1570000000.0,1.58,0.44,78.83,6050000.0,4.74,2.37,6010000.0,115.62,249880000.0,N/A
357,N/A,N/A,ppl,N/A,N/A,N/A,N/A,N/A,195.23,13.624434389140271,N/A,1.94,20.60,40.65,4.74,14.66,10.77,20729530600.0,41420000000.0,12.92,5.63,5.63,10.19,7520000000.0,6020000000.0,4070000000.0000005,1510000000.0,2.21,57.85,57.85,2890000000.0,0.98,20870000000.0,0.56,15.54,2410000000.0,0.33,0.28,55.03,9610000.0,2.88,1.41,8630000.0,30.11,688460000.0,N/A
358,N/A,N/A,prgo,N/A,N/A,N/A,N/A,N/A,61.12,16.341463414634145,N/A,2.03,130220000.0,13.42,3.02,2049999999.9999998,34.98,12267164000.0,15520000000.0,16.34,2.82,3.11,13.84,5280000000.0,2049999999.9999998,1120000000.0,5.33,5.33,39.13,39.13,654900000.0,5.55,3690000000.0,1.72,42.91,688200000.0,0.7,0.52,82.14,5350000.0,3.45,4.49,6930000.0,87.10,140840000.0,N/A
359,N/A,N/A,pru,N/A,N/A,N/A,N/A,N/A,60.40,6.082306830907055,N/A,0.85,12.86,13.02,0.62,15.88,143.23,394326900.0,29490000000.0,8.48,0.68,0.48,3.60,58780000000.0,23270000000.0,8180000000.0,7770000000.0,17.86,22.10,22.10,14780000000.0,116.38,32820000000.0,1.02,127.96,13450000000.0,1.43,0.20,72.14,3630000.0,2.2,0.85,3580000.0,108.63,3630000.0,N/A
360,N/A,N/A,psa,N/A,N/A,N/A,N/A,N/A,15.97,27.887426900584796,N/A,6.75,54.04,53.33,8.53,15.74,15.37,33198130000.0,33280000000.0,24.15,1.44,12.47,17.81,2560000000.0,1890000000.0,1870000000.0,1170000000.0,6.84,0.90,0.90,1950000000.0,2.5,1430000000.0,1.28,28.27,0.90,0.36,14.44,83.64,14.44,0.00,0.00,14.44,190.75,174040000.0,N/A
361,N/A,N/A,psx,N/A,N/A,N/A,N/A,N/A,42.58,9.094416243654823,N/A,2.02,5.72,2.54,22.01,22.01,173.37,41789070000.0,54330000000.0,11.38,0.81,0.61,15.14,84280000000.0,17540000000.0,3590000000.0,5110000000.0,9.85,30.20,30.20,2960000000.0,3.08,10200000000.0,89300000000.0,44.45,3650000000.0,0.88,0.16,72.80,6130000.0,3.24,1.41,6330000.0,89.58,466500000.0,N/A
362,N/A,N/A,pwr,N/A,N/A,N/A,N/A,N/A,20.45,18.934782608695652,N/A,1.45,3.18,5.15,4.83,8.33,58.44,5390444800.000001,6110000000.0,13.72,0.56,0.67,9.03,7650000000.0,1010000000.0,677340000.0,289950000.0,1.84,18.20,27.80,381180000.0,0.59,763010000.0,1.85,24.02,349880000.0,0.58,1.06,88.24,2300000.0,1.71,1.56,2080000.0,34.84,154720000.0,N/A
363,N/A,N/A,px,N/A,N/A,N/A,N/A,N/A,137.99,35.35648148148148,N/A,7.28,10.90,21.88,7.86,21.85,39.95,43729462000.0,52460000000.0,21.30,2.68,4.59,14.23,10530000000.0,4670000000.0,3690000000.0,1250000000.0,4.32,11.70,11.70,2770000000.0,2.15,0.73,0.99,20.97,3040000000.0,1.1,0.25,88.64,5090000.0,3.81,1.78,4300000.0,152.74,286300000.0,N/A
364,N/A,N/A,pxd,N/A,N/A,N/A,N/A,N/A,24.22,36.026804123711344,N/A,2.63,15.74,9.20,1.82,7.68,31.14,29732056800.0,30920000000.0,21.47,0.80,5.84,16.22,3950000000.0,1770000000.0,1910000000.0,4.85,4.85,44.40,44.40,1500000000.0,12.44,2730000000.0,1.41,66.35,2089999999.9999998,1.16,0.85,91.28,5570000.0,2.84,3.30,6160000.0,174.73,170160000.0,N/A
365,N/A,N/A,qcom,N/A,N/A,N/A,N/A,N/A,95.49,16.861702127659576,N/A,3.92,1480000000.0,20.79,4.98,12500000000.0,15.14,93832000000.0,83440000000.0,16.86,1.28,3.73,13.58,22290000000.0,12500000000.0,6140000000.0,3.76,3.76,1.20,1.20,4690000000.0,23.92,22850000000.0,3.41,16.17,4870000000.0,1.55,0.16,79.60,0.16,0.00,0.00,0.16,63.40,1480000000.0,N/A
366,N/A,N/A,qdel,N/A,N/A,N/A,N/A,N/A,69.66,29.749999999999996,N/A,7.21,27690000.0,8.14,2.78,118190000.0,6.46,168468300.0,1550000000.0,29.75,5.02,7.18,38.53,191600000.0,118190000.0,40160000.0,1.56,1.56,3.10,3.10,11810000.0,5.09,152480000.0,6.28,6.44,33100000.0,1.38,14.32,97.64,3630000.0,10.2,16.76,4040000.0,46.41,3630000.0,N/A
367,N/A,N/A,qep,N/A,N/A,N/A,N/A,N/A,55.66,828.9999999999999,N/A,0.55,238840000.0,N/A,752700000.0,752700000.0,6.63,1997392599.9999998,3330000000.0,829.00,0.53,2.09,4.61,1380000000.0,752700000.0,722700000.0,0.01,0.01,2.00,2.00,663700000.0,3.25,2020000000.0,1.55,15.10,612600000.0,2.05,0.75,94.54,13940000.0,2.43,5.84,14200000.0,8.29,240940000.0,N/A
368,N/A,N/A,r,N/A,N/A,N/A,N/A,N/A,190.82,20.35967302452316,N/A,1.82,10.79,5.89,2.41,32.37,138.29,3956424000.0,9390000000.0,11.62,0.89,1.28,5.57,6790000000.0,1500000000.0,1680000000.0,791100000.0,3.67,12.20,12.20,1600000000.0,1.48,5410000000.0,1.11,41.08,12.20,1.21,1.83,94.34,41.5,0.14,0.00,211.46,74.72,52950000.0,N/A
