,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Current Price,Shares Outstanding,Status
265,N/A,N/A,lnc,N/A,N/A,N/A,N/A,N/A,32.44,8.49457700650759,N/A,0.99,14.58,16.35,0.54,13.08,64.18,17081591999.999998,19390000000.0,8.41,0.75,1.36,8.30,13330000000.0,4360000000.0,2340000000.0,2080000000.0,9.22,338.30,12.80,1270000000.0,14.89,5620000000.0,4.65,79.42,338.30,2.07,0.40,84.89,0.40,0.00,0.00,0.40,78.32,218100000.0,N/A
266,N/A,N/A,low,N/A,N/A,N/A,N/A,N/A,279.31,22.97349397590361,N/A,13.80,5.16,9.26,11.06,57.12,81.14,79109318400.0,94580000000.0,16.33,1.21,1.37,11.93,65019999999.99999,22460000000.0,7930000000.0,3530000000.0,4.15,143.50,6.60,5620000000.0,7930000000.0,16040000000.0,1.02,6.91,5720000000.0,1.22,0.14,75.36,7310000.0,1.3,0.85,5670000.0,95.34,829760000.0,N/A
267,N/A,N/A,lrcx,N/A,N/A,N/A,N/A,N/A,52.19,20.794505494505493,N/A,4.91,17.60,27.06,13.23,26.83,58.92,30835028500.0,28130000000.0,11.77,0.64,2.94,9.69,8010000000.0,3600000000.0,2900000000.0,1680000000.0,9.10,37.10,37.10,2029999999.9999998,34.98,3210000000.0,2.47,38.53,2040000000.0,1.59,0.35,92.69,11180000.0,4.83,6.90,11250000.0,189.23,162950000.0,N/A
268,N/A,N/A,lsi,N/A,N/A,N/A,N/A,N/A,84.55,38.820895522388064,N/A,1.77,19.19,34.89,2.75,4.49,10.51,3604205700.0,5390000000.0,25.17,6.49,11.08,17.95,462610000.0,311340000.0,300460000.0,93450000.0,2.01,5.10,5.10,225550000.0,0.13,1740000000.0,0.31,44.00,256620000.0,0.59,1.75,104.54,5560000.0,9.9,16.40,5940000.0,78.03,46190000.0,N/A
269,N/A,N/A,luk,N/A,N/A,N/A,N/A,N/A,185.02,16.22077922077922,N/A,0.85,4.85,14.84,2.37,6.14,32.47,8899624600.0,9060000000.0,15.42,0.88,0.76,4.66,9430000000.0,2580000000.0,1950000000.0,573860000.0,1.54,9.00,9.00,608850000.0,57.6,20640000000.0,1.40,29.34,1290000000.0,1.24,11.24,77.69,3210000.0,2.57,0.97,3940000.0,24.98,356270000.0,N/A
270,N/A,N/A,luv,N/A,N/A,N/A,N/A,N/A,35.38,10.022452504317789,N/A,3.27,16.48,16.32,8.92,36.97,35.23,34118738500.0,34680000000.0,10.13,0.76,1.64,7.73,21170000000.0,14740000000.0,4480000000.0,3490000000.0,5.79,278.80,3.90,3930000000.0,5.57,3690000000.0,0.70,17.72,3930000000.0,1.04,0.20,80.59,6940000.0,1.44,1.48,6500000.0,58.03,587950000.0,N/A
271,N/A,N/A,lyb,N/A,N/A,N/A,N/A,N/A,96.30,11.704935622317597,N/A,5.87,14.15,15.83,13.75,65.17,86.43,43037095900.0,48640000000.0,10.26,1.30,1.41,7.34,29180000000.0,5990000000.0,6630000000.0,4900000000.0,9.32,155.80,17.90,5610000000.0,7.17,8620000000.0,2.46,18.57,155.80,1.28,19.53,78.14,9690000.0,3.99,2.94,10630000.0,109.09,394510000.0,N/A
272,N/A,N/A,m,N/A,N/A,N/A,N/A,N/A,149.60,11.223684210526317,N/A,1.84,2.82,6.55,4.87,17.17,80.85,7793946300.0,13780000000.0,8.53,0.38,0.56,5.24,25780000000.0,10160000000.0,2630000000.0,2.28,2.28,135.70,39.05,1800000000.0,1.75,6320000000.0,1.29,13.89,1880000000.0,0.77,2.09,91.47,69780000.0,4.14,23.19,57010000.0,25.59,304570000.0,N/A
273,N/A,N/A,ma,N/A,N/A,N/A,N/A,N/A,97.41,47.21095890410959,N/A,33.21,31.33,53.11,20.74,69.59,11.71,179212800000.0,24.44,24.44,1.44,14.56,25.73,12500000000.0,12500000000.0,7070000000.0,3920000000.0,3.65,20.20,20.20,5550000000.0,7.4,5420000000.0,1.57,5.19,5550000000.0,1.18,10.93,78.47,6870000.0,2.03,0.73,6420000.0,172.32,1040000000.0,N/A
274,N/A,N/A,mac,N/A,N/A,N/A,N/A,N/A,130.30,56.8235294117647,N/A,2.22,13.82,28.23,1.91,3.85,7.45,8159029200.0,13450000000.0,72.45,422.05,12.72,21.14,1040000000.0,635330000.0,636300000.0,146130000.0,1.02,62.62,62.62,417510000.0,0.65,5170000000.0,0.72,26.11,62.62,0.7,0.55,107.01,0.55,0.12,0.00,0.55,57.96,140770000.0,N/A
275,N/A,N/A,mar,N/A,N/A,N/A,N/A,N/A,220.80,38.68119891008175,N/A,11.53,26.75,49.09,6.54,30.19,13.67,50742182400.0,57360000000.0,22.97,1.67,11.18,19.55,17070000000.0,2630000000.0,2930000000.0,1370000000.0,3.67,5.50,5.50,1580000000.0,1.07,8240000000.0,0.46,12.31,2440000000.0,1.38,38.96,0.00,1.5,0.14,0.00,38.96,141.96,357440000.0,N/A
